phone_id,location_date,latitude,longitude
14,2022-11-01 01:05:00.0,39.5113005000,2.5264471000
23,2022-11-01 01:05:09.0,39.5097842000,2.5293411800
33,2022-11-01 01:05:42.0,39.5210614000,2.5313418000
50,2022-11-01 01:05:45.0,39.5122243600,2.4680463800
14,2022-11-01 01:06:02.0,39.5113005000,2.5264471000
23,2022-11-01 01:06:12.0,39.5096645000,2.5291102300
33,2022-11-01 01:06:44.0,39.5162365000,2.5334860000
50,2022-11-01 01:06:51.0,39.5117306300,2.4729802400
14,2022-11-01 01:07:04.0,39.5100211000,2.5306519000
33,2022-11-01 01:07:46.0,39.5144895000,2.5340907000
50,2022-11-01 01:07:57.0,39.5111566800,2.4751312900
14,2022-11-01 01:08:06.0,39.5100608000,2.5307578000
33,2022-11-01 01:08:49.0,39.5116525000,2.5305109000
50,2022-11-01 01:09:02.0,39.5107120900,2.4801995000
14,2022-11-01 01:09:09.0,39.5092940000,2.5302420000
33,2022-11-01 01:09:52.0,39.5099621000,2.5307770000
50,2022-11-01 01:10:09.0,39.5102586100,2.4826332800
14,2022-11-01 01:10:11.0,39.5102574000,2.5298518000
33,2022-11-01 01:10:54.0,39.5096743000,2.5306163000
14,2022-11-01 01:11:13.0,39.5097286000,2.5306740000
50,2022-11-01 01:11:14.0,39.5111243000,2.4886860700
33,2022-11-01 01:11:56.0,39.5101895000,2.5307522000
14,2022-11-01 01:12:15.0,39.5097218000,2.5306925000
50,2022-11-01 01:12:19.0,39.5184674200,2.4904361600
33,2022-11-01 01:12:58.0,39.5102161000,2.5291657000
14,2022-11-01 01:13:17.0,39.5097203000,2.5306880000
50,2022-11-01 01:13:23.0,39.5210967600,2.5020627500
33,2022-11-01 01:14:00.0,39.5099245000,2.5306436000
14,2022-11-01 01:14:18.0,39.5113005000,2.5264471000
50,2022-11-01 01:14:29.0,39.5208142000,2.5190882000
33,2022-11-01 01:15:03.0,39.5091409000,2.5304139000
23,2022-11-01 01:15:13.0,39.5099751700,2.5297481100
14,2022-11-01 01:15:20.0,39.5098137000,2.5307373000
50,2022-11-01 01:15:38.0,39.5209826800,2.5294322500
